,Book,Author,Genres,Avg_Rating
39,Les Misérables,Victor Hugo,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels']",4.2
40,The Alchemist,Paulo Coelho,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help']",3.9
41,Brave New World / Brave New World Revisited,Aldous Huxley,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Fantasy']",4.16
42,Crime and Punishment,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Literature', 'Philosophy', 'Novels']",4.26
43,The Help,Kathryn Stockett,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Classics', 'Contemporary']",4.47
44,The Secret Garden,Frances Hodgson Burnett,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy']",4.15
45,Memoirs of a Geisha,Arthur Golden,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Adult']",4.14
46,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']",4.23
47,The Odyssey,Homer,"['Classics', 'Fiction', 'Poetry', 'Fantasy', 'School', 'Literature']",3.8
48,A Christmas Carol,Charles Dickens,"['Classics', 'Fiction', 'Fantasy', 'Audiobook', 'Literature', 'Historical Fiction']",4.07
49,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,"['Childrens', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']",4.18
50,The Outsiders,S.E. Hinton,"['Classics', 'Young Adult', 'Fiction', 'School']",4.12
51,One Hundred Years of Solitude,Gabriel García Márquez,"['Fiction', 'Classics', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction']",4.11
52,The Grapes of Wrath,John Steinbeck,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']",4.0
53,A Thousand Splendid Suns,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Contemporary', 'Historical', 'Novels', 'War', 'Classics']",4.42
54,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']",4.3
55,Where the Sidewalk Ends,Shel Silverstein,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult']",4.32
56,The Count of Monte Cristo,Alexandre Dumas,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'Historical']",4.29
57,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"['Science Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War']",4.31
58,Where the Wild Things Are,Maurice Sendak,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']",4.24
59,The Color Purple,Alice Walker,"['Classics', 'Fiction', 'Historical Fiction', 'Historical']",4.26
60,A Tale of Two Cities,Charles Dickens,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School']",3.86
61,The Adventures of Tom Sawyer,Mark Twain,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Young Adult', 'Literature', 'Childrens']",3.92
62,Life of Pi,Yann Martel,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Novels']",3.93
63,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'Adult']",4.13
64,One Flew Over the Cuckoo's Nest,Ken Kesey,"['Classics', 'Fiction', 'Psychology', 'Literature', 'Novels', 'School']",4.2
65,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Fantasy', 'School']",3.85
66,Flowers for Algernon,Daniel Keyes,"['Fiction', 'Classics', 'Science Fiction', 'Young Adult', 'Psychology', 'Literature', 'School']",4.19
67,"Oh, the Places You'll Go!",Dr. Seuss,"['Childrens', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult']",4.36
68,Anna Karenina,Leo Tolstoy,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature']",4.08
69,Tuesdays with Morrie,Mitch Albom,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Philosophy', 'Self Help']",4.16
70,Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Middle Grade', 'Audiobook']",4.35
71,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy']",4.38
72,Slaughterhouse-Five,Kurt Vonnegut Jr.,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels']",4.09
73,The Old Man and the Sea,Ernest Hemingway,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure']",3.8
74,Catch-22,Joseph Heller,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']",3.99
75,The Scarlet Letter,Nathaniel Hawthorne,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Historical']",3.43
76,Macbeth,William Shakespeare,"['Classics', 'Fiction', 'School', 'Drama', 'Literature']",3.9
77,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Paranormal']",3.64
78,Lolita,Vladimir Nabokov,"['Classics', 'Fiction', 'Literature', 'Novels', 'Romance']",3.88
79,The Metamorphosis,Franz Kafka,"['Classics', 'Fiction', 'Fantasy', 'Philosophy', 'Literature', 'Short Stories', 'School']",3.85
80,The Time Traveler's Wife,Audrey Niffenegger,"['Fiction', 'Romance', 'Fantasy', 'Science Fiction', 'Contemporary', 'Adult']",3.99
81,Siddhartha,Hermann Hesse,"['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature']",4.06
82,The Stranger,Albert Camus,"['Classics', 'Fiction', 'Philosophy', 'Literature', 'Novels']",4.01
83,Goodnight Moon,Margaret Wise Brown,"['Childrens', 'Classics', 'Fiction', 'Poetry', 'Animals']",4.3
84,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",4.43
85,A Tree Grows in Brooklyn,Betty  Smith,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Historical']",4.29
86,War and Peace,Leo Tolstoy,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'War']",4.15
87,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']",4.35
88,A Clockwork Orange,Anthony Burgess,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Horror', 'Novels']",4.0
89,All Quiet on the Western Front,Erich Maria Remarque,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School']",4.05
90,The Stand,Stephen King,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Thriller', 'Dystopia']",4.34
91,Don Quixote,Miguel de Cervantes Saavedra,"['Classics', 'Fiction', 'Literature', 'Adventure', 'Historical Fiction', 'Novels']",3.89
92,Uncle Tom's Cabin,Harriet Beecher Stowe,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'American', 'Novels']",3.9
93,القرآن الكريم,Anonymous,"['Religion', 'Nonfiction', 'Classics', 'Philosophy', 'Spirituality']",4.38
94,Atlas Shrugged,Ayn Rand,"['Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels']",3.69
95,The Brothers Karamazov,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Literature', 'Philosophy', 'Novels']",4.36
96,The Poisonwood Bible,Barbara Kingsolver,"['Fiction', 'Historical Fiction', 'Classics', 'Historical', 'Literary Fiction', 'Literature']",4.09
97,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry']",4.28
98,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"['Religion', 'Nonfiction', 'Spirituality', 'Classics', 'History']",4.26
99,"Moby-Dick or, the Whale",Herman Melville,"['Classics', 'Fiction', 'Literature', 'Adventure', 'Historical Fiction', 'Novels', 'American']",3.53
100,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']",3.9
101,Great Expectations,Charles Dickens,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels']",3.79
102,"The Good Earth (House of Earth, #1)",Pearl S. Buck,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical']",4.0
103,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"['Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics']",4.45
104,Dracula,Bram Stoker,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Paranormal']",4.01
105,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']",3.99
106,The Fault in Our Stars,John Green,"['Young Adult', 'Romance', 'Fiction', 'Contemporary']",4.15
107,Matilda,Roald Dahl,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor']",4.33
108,The Perks of Being a Wallflower,Stephen Chbosky,"['Young Adult', 'Fiction', 'Contemporary', 'Classics']",4.22
109,Brave New World,Aldous Huxley,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School']",3.99
110,Sense and Sensibility,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']",4.08
111,The Princess Bride,William Goldman,"['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure']",4.26
112,The Iliad,Homer,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Fantasy', 'Historical Fiction']",3.9
113,East of Eden,John Steinbeck,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']",4.4
114,Where the Red Fern Grows,Wilson Rawls,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Middle Grade', 'Animals']",4.1
115,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"['Classics', 'Horror', 'Fiction', 'Short Stories', 'Poetry', 'Mystery', 'Literature']",4.19
116,Man's Search for Meaning,Viktor E. Frankl,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Self Help', 'Memoir', 'Biography']",4.37
117,The Lorax,Dr. Seuss,"['Childrens', 'Fiction', 'Classics', 'Poetry', 'Fantasy']",4.34
118,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",4.31
119,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Classics', 'Novels']",3.89
120,The Declaration of Independence / The Constitution of the United States,Founding Fathers,"['History', 'Nonfiction', 'Politics', 'Classics', 'Philosophy']",4.44
121,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"['Fantasy', 'Fiction', 'Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure']",4.44
122,"Watership Down (Watership Down, #1)",Richard  Adams,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure']",4.08
123,The Bell Jar,Sylvia Plath,"['Classics', 'Fiction', 'Psychology', 'Literature']",4.04
124,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Young Adult', 'Middle Grade', 'Humor']",4.15
125,The Last Lecture,Randy Pausch,"['Nonfiction', 'Memoir', 'Biography', 'Self Help', 'Philosophy', 'Autobiography']",4.26
126,Rebecca,Daphne du Maurier,"['Classics', 'Fiction', 'Mystery', 'Romance', 'Historical Fiction', 'Thriller']",4.24
127,The Velveteen Rabbit,Margery Williams Bianco,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Young Adult']",4.29
128,"Dune (Dune, #1)",Frank Herbert,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Audiobook']",4.26
129,And Then There Were None,Agatha Christie,"['Classics', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Mystery']",4.28
130,The Fountainhead,Ayn Rand,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Politics']",3.88
131,The Lovely Bones,Alice Sebold,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller']",3.84
132,Alice in Wonderland,Jane Carruth,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature']",4.03
133,The Call of the Wild,Jack London,"['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature']",3.9
134,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",4.16
135,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy']",4.56
136,The Five People You Meet in Heaven,Mitch Albom,"['Fiction', 'Contemporary', 'Fantasy', 'Classics', 'Spirituality', 'Adult']",3.98
137,Animal Farm / 1984,George Orwell,"['Classics', 'Fiction', 'Dystopia', 'Literature', 'Science Fiction', 'Politics', 'Fantasy']",4.3
138,Perfume: The Story of a Murderer,Patrick Süskind,"['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime']",4.03
139,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Autobiography', 'Biography Memoir']",4.14
140,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Middle Grade']",3.99
141,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy']",4.47
142,Love You Forever,Robert Munsch,"['Childrens', 'Fiction', 'Classics']",4.37
143,Bridge to Terabithia,Katherine Paterson,"['Fiction', 'Young Adult', 'Classics', 'Fantasy', 'Childrens', 'Middle Grade']",4.04
144,A Prayer for Owen Meany,John Irving,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'Historical Fiction']",4.24
145,The Road,Cormac McCarthy,"['Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'Horror', 'Literature']",3.98
146,The Divine Comedy,Dante Alighieri,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Philosophy', 'Religion', 'Fantasy']",4.07
147,A Midsummer Night's Dream,William Shakespeare,"['Classics', 'Fiction', 'Fantasy', 'Drama', 'School', 'Romance']",3.95
148,A Story of Yesterday,Sergio Cobo,"['Thriller', 'Mystery', 'Fiction', 'Drama']",4.6
149,The Prophet,Kahlil Gibran,"['Poetry', 'Classics', 'Philosophy', 'Fiction', 'Spirituality', 'Religion', 'Literature']",4.23
150,Persuasion,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']",4.15
151,The Name of the Rose,Umberto Eco,"['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature']",4.13
152,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'Historical']",4.09
153,Water for Elephants,Sara Gruen,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']",4.1
154,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Middle Grade', 'Science Fiction']",4.01
155,The Boy in the Striped Pajamas,John Boyne,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War']",4.15
156,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Audiobook']",4.33
157,How the Grinch Stole Christmas!,Dr. Seuss,"['Childrens', 'Classics', 'Fiction', 'Poetry', 'Fantasy']",4.37
158,Jonathan Livingston Seagull,Richard Bach,"['Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Spirituality', 'Self Help']",3.85
159,Oliver Twist,Charles Dickens,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels']",3.88
160,The Secret Life of Bees,Sue Monk Kidd,"['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Historical', 'Contemporary', 'Adult Fiction']",4.08
161,"The Notebook (The Notebook, #1)",Nicholas Sparks,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Classics']",4.14
162,The Master and Margarita,Mikhail Bulgakov,"['Classics', 'Fiction', 'Fantasy', 'Literature']",4.29
163,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",4.07
164,The Complete Sherlock Holmes,Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Crime', 'Short Stories', 'Literature']",4.5
165,In Cold Blood,Truman Capote,"['Nonfiction', 'Classics', 'Crime', 'Mystery', 'History', 'Thriller']",4.08
166,The Crucible: A Play in Four Acts,Arthur  Miller,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Drama']",3.6
167,Heart of Darkness,Joseph Conrad,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels']",3.43
168,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Historical']",4.29
169,The Red Tent,Anita Diamant,"['Historical Fiction', 'Fiction', 'Historical', 'Religion', 'Adult']",4.19
170,Love in the Time of Cholera,Gabriel García Márquez,"['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Literature', 'Novels']",3.93
171,The Glass Castle,Jeannette Walls,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Adult']",4.3
172,The Gift of the Magi,O. Henry,"['Classics', 'Short Stories', 'Fiction', 'Romance', 'Literature']",4.1
173,The Unbearable Lightness of Being,Milan Kundera,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Romance']",4.11
174,"Eat, Pray, Love",Elizabeth Gilbert,"['Nonfiction', 'Memoir', 'Biography', 'Romance', 'Chick Lit', 'Spirituality']",3.61
175,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"['Horror', 'Fantasy', 'Fiction', 'Paranormal', 'Classics']",4.01
176,The Canterbury Tales,Geoffrey Chaucer,"['Classics', 'Fiction', 'Poetry', 'Literature', 'School', 'Short Stories']",3.52
177,On the Road,Jack Kerouac,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'Adventure']",3.62
178,The Art of War,Sun Tzu,"['Classics', 'Nonfiction', 'Philosophy', 'History', 'War', 'Politics', 'Business']",3.97
179,Aesop's Fables,Aesop,"['Classics', 'Fiction', 'Short Stories', 'Childrens', 'Fantasy', 'Literature']",4.05
180,The Screwtape Letters,C.S. Lewis,"['Fiction', 'Christian', 'Classics', 'Religion', 'Fantasy']",4.25
181,Fight Club,Chuck Palahniuk,"['Fiction', 'Classics', 'Contemporary', 'Thriller', 'Novels', 'Mystery', 'Adult']",4.19
182,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy']",4.61
183,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"['Classics', 'Horror', 'Fiction', 'Science Fiction', 'Mystery', 'Fantasy']",3.83
184,Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,"['Classics', 'Fiction', 'Fantasy', 'Adventure', 'Literature', 'Novels']",3.58
185,"The Godfather (The Godfather, #1)",Mario Puzo,"['Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels']",4.38
186,Robinson Crusoe,Daniel Defoe,"['Classics', 'Fiction', 'Adventure', 'Literature', 'Historical Fiction', 'Novels']",3.68
187,Walden,Henry David Thoreau,"['Classics', 'Philosophy', 'Nonfiction', 'Memoir', 'Literature', 'Biography']",3.78
188,The Origin of Species,Charles Darwin,"['Science', 'Nonfiction', 'Classics', 'Philosophy', 'History']",4.0
189,Invisible Man,Ralph Ellison,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'Novels']",3.91
190,Emma,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']",4.04
